ID,No,PM,Temperature,Humidity,Air_Pressure,Wind_Speed,Wind_Direction,AQI,DW,Day,Month,Day_Nom,Month_Nom,Year,Time,Time_Nom,Formatted_Reading_Time,Status,Status_Nom
9899,47,13.0,32.47999954,46.88964844,1010.913208,0.0,139.0,69.0,Two,27,11,Twenty-Seven,Eleven,2023,16,Day,11-27,3,Moderate
9900,48,12.0,31.79999924,48.02441406,1011.097656,0.0,141.0,65.0,Two,27,11,Twenty-Seven,Eleven,2023,17,Day,11-27,3,Moderate
9901,49,19.0,30.72999954,51.10253906,1011.873291,0.0,140.0,60.0,Two,27,11,Twenty-Seven,Eleven,2023,18,Night,11-27,3,Moderate
9902,50,15.0,29.92000008,52.98632813,1012.903259,0.0,142.0,55.0,Two,27,11,Twenty-Seven,Eleven,2023,19,Night,11-27,3,Moderate
9903,51,17.0,29.19000053,52.96972656,1013.899536,0.0,142.0,51.0,Two,27,11,Twenty-Seven,Eleven,2023,20,Night,11-27,3,Moderate
9904,52,30.0,28.53000069,54.09765625,1014.279907,0.0,140.0,49.0,Two,27,11,Twenty-Seven,Eleven,2023,21,Night,11-27,4,Good
9905,53,28.0,27.86000061,56.59277344,1014.296265,0.0,141.0,46.0,Two,27,11,Twenty-Seven,Eleven,2023,22,Night,11-27,4,Good
9906,54,24.0,27.36000061,58.05957031,1013.86908,0.0,140.0,36.0,Two,27,11,Twenty-Seven,Eleven,2023,23,Night,11-27,4,Good
9907,55,37.0,27.01000023,58.09472656,1013.567627,0.0,142.0,32.0,Three,28,11,Twenty-Eight,Eleven,2023,0,Night,11-28,4,Good
9908,56,28.0,26.55999947,59.6875,1013.47467,0.0,139.0,28.0,Three,28,11,Twenty-Eight,Eleven,2023,1,Night,11-28,4,Good
9909,57,37.0,26.68000031,59.95214844,1012.963135,0.0,141.0,31.0,Three,28,11,Twenty-Eight,Eleven,2023,2,Night,11-28,4,Good
9910,58,32.0,27.06999969,58.27148438,1012.434204,0.0,140.0,32.0,Three,28,11,Twenty-Eight,Eleven,2023,3,Night,11-28,4,Good
9911,59,44.0,26.27000046,63.54101563,1012.192505,0.0,140.0,34.0,Three,28,11,Twenty-Eight,Eleven,2023,4,Night,11-28,4,Good
9912,60,44.0,26.38999939,59.41503906,1012.357117,0.0,64.0,38.0,Three,28,11,Twenty-Eight,Eleven,2023,5,Night,11-28,4,Good
9913,61,43.0,25.84000015,60.52734375,1012.847839,0.0,63.0,40.0,Three,28,11,Twenty-Eight,Eleven,2023,6,Day,11-28,4,Good
9914,62,38.0,25.93000031,55.95800781,1013.384827,0.0,63.0,43.0,Three,28,11,Twenty-Eight,Eleven,2023,7,Day,11-28,4,Good
9915,63,43.0,26.45000076,52.40136719,1014.059143,0.0,141.0,46.0,Three,28,11,Twenty-Eight,Eleven,2023,8,Day,11-28,4,Good
9916,64,44.0,27.47999954,48.62695313,1014.904846,0.0,140.0,50.0,Three,28,11,Twenty-Eight,Eleven,2023,9,Day,11-28,4,Good
9917,65,34.0,28.35000038,45.83984375,1014.901001,0.0,64.0,53.0,Three,28,11,Twenty-Eight,Eleven,2023,10,Day,11-28,3,Moderate
9918,66,33.0,31.12000084,39.36328125,1014.563599,0.0,141.0,58.0,Three,28,11,Twenty-Eight,Eleven,2023,11,Day,11-28,3,Moderate
9919,67,36.0,31.38999939,38.38769531,1013.829712,0.0,63.0,63.0,Three,28,11,Twenty-Eight,Eleven,2023,12,Day,11-28,3,Moderate
9920,68,38.0,31.19000053,39.140625,1012.865723,0.0,64.0,69.0,Three,28,11,Twenty-Eight,Eleven,2023,13,Day,11-28,3,Moderate
9921,69,47.0,30.97999954,40.52246094,1011.877319,0.0,64.0,75.0,Three,28,11,Twenty-Eight,Eleven,2023,14,Day,11-28,3,Moderate
9922,70,54.0,30.29999924,43.61230469,1011.36908,0.0,64.0,82.0,Three,28,11,Twenty-Eight,Eleven,2023,15,Day,11-28,3,Moderate
9923,71,51.0,30.55999947,41.26464844,1011.17749,0.0,63.0,88.0,Three,28,11,Twenty-Eight,Eleven,2023,16,Day,11-28,3,Moderate
9924,72,58.0,29.53000069,44.05175781,1011.325378,0.0,63.0,96.0,Three,28,11,Twenty-Eight,Eleven,2023,17,Day,11-28,3,Moderate
9925,73,53.0,28.54000092,45.86035156,1011.812195,0.0,64.0,102.0,Three,28,11,Twenty-Eight,Eleven,2023,18,Night,11-28,2,Bad
9926,74,71.0,27.62999916,47.74609375,1012.419373,0.0,63.0,108.0,Three,28,11,Twenty-Eight,Eleven,2023,19,Night,11-28,2,Bad
9927,75,72.0,26.87000084,51.859375,1012.95343,0.0,63.0,114.0,Three,28,11,Twenty-Eight,Eleven,2023,20,Night,11-28,2,Bad
9928,76,90.0,26.11000061,55.90039063,1013.304688,0.0,63.0,120.0,Three,28,11,Twenty-Eight,Eleven,2023,21,Night,11-28,2,Bad
9929,77,107.0,25.53000069,59.85546875,1013.464355,0.0,63.0,129.0,Three,28,11,Twenty-Eight,Eleven,2023,22,Night,11-28,2,Bad
9930,78,94.0,24.96999931,64.29296875,1013.360168,0.0,62.0,137.0,Three,28,11,Twenty-Eight,Eleven,2023,23,Night,11-28,2,Bad
9931,79,121.0,25.52000046,64.15722656,1012.999512,0.0,66.0,146.0,Four,29,11,Twenty-Nine,Eleven,2023,0,Night,11-29,2,Bad
9932,80,146.0,25.04999924,68.23632813,1012.691345,0.0,65.0,159.0,Four,29,11,Twenty-Nine,Eleven,2023,1,Night,11-29,2,Bad
9933,81,104.0,25.04000092,65.10058594,1012.247498,0.0,65.0,167.0,Four,29,11,Twenty-Nine,Eleven,2023,2,Night,11-29,2,Bad
9934,82,95.0,24.54000092,66.99414063,1011.726379,0.0,63.0,174.0,Four,29,11,Twenty-Nine,Eleven,2023,3,Night,11-29,2,Bad
9935,83,85.0,24.12000084,69.02636719,1011.783936,0.0,64.0,178.0,Four,29,11,Twenty-Nine,Eleven,2023,4,Night,11-29,2,Bad
9936,84,81.0,24.07999992,69.02050781,1012.22406,0.0,61.0,182.0,Four,29,11,Twenty-Nine,Eleven,2023,5,Night,11-29,2,Bad
9937,85,79.0,23.79999924,69.55859375,1012.726074,0.0,64.0,186.0,Four,29,11,Twenty-Nine,Eleven,2023,6,Day,11-29,2,Bad
9938,86,74.0,23.71999931,68.39550781,1013.502136,0.0,62.0,190.0,Four,29,11,Twenty-Nine,Eleven,2023,7,Day,11-29,2,Bad
9939,87,57.0,25.27000046,62.21777344,1014.368042,1.0,64.0,192.0,Four,29,11,Twenty-Nine,Eleven,2023,8,Day,11-29,2,Bad
9940,88,52.0,27.48999977,53.49804688,1014.989075,0.0,63.0,192.0,Four,29,11,Twenty-Nine,Eleven,2023,9,Day,11-29,2,Bad
9941,89,49.0,28.40999985,51.78808594,1014.942993,0.0,63.0,194.0,Four,29,11,Twenty-Nine,Eleven,2023,10,Day,11-29,2,Bad
9942,90,49.0,29.47999954,47.9296875,1014.584229,0.0,63.0,196.0,Four,29,11,Twenty-Nine,Eleven,2023,11,Day,11-29,2,Bad
9943,91,41.0,30.82999992,45.27734375,1013.780334,0.0,63.0,196.0,Four,29,11,Twenty-Nine,Eleven,2023,12,Day,11-29,2,Bad
9944,92,49.0,33.20999908,38.42675781,1012.787964,0.0,63.0,198.0,Four,29,11,Twenty-Nine,Eleven,2023,13,Day,11-29,2,Bad
9945,93,42.0,35.86000061,33.23632813,1011.788574,0.0,64.0,197.0,Four,29,11,Twenty-Nine,Eleven,2023,14,Day,11-29,2,Bad
9946,94,49.0,32.25,40.58984375,1011.370483,0.0,64.0,197.0,Four,29,11,Twenty-Nine,Eleven,2023,15,Day,11-29,2,Bad
9947,95,49.0,30.44000053,46.69140625,1011.425842,1.0,64.0,196.0,Four,29,11,Twenty-Nine,Eleven,2023,16,Day,11-29,2,Bad
9948,96,43.0,29.37000084,48.31738281,1011.804382,1.0,64.0,195.0,Four,29,11,Twenty-Nine,Eleven,2023,17,Day,11-29,2,Bad
9949,97,52.0,28.90999985,50.78515625,1012.477051,0.0,64.0,195.0,Four,29,11,Twenty-Nine,Eleven,2023,18,Night,11-29,2,Bad
9950,98,80.0,28.42000008,54.58496094,1013.1521,0.0,64.0,196.0,Four,29,11,Twenty-Nine,Eleven,2023,19,Night,11-29,2,Bad
9952,99,60.0,28.17000008,55.36132813,1013.864929,0.0,63.0,194.0,Four,29,11,Twenty-Nine,Eleven,2023,20,Night,11-29,2,Bad
9954,100,71.0,27.84000015,56.30859375,1014.470642,0.0,64.0,192.0,Four,29,11,Twenty-Nine,Eleven,2023,21,Night,11-29,2,Bad
9955,101,77.0,27.20999908,59.99804688,1015.000793,0.0,65.0,189.0,Four,29,11,Twenty-Nine,Eleven,2023,22,Night,11-29,2,Bad
9956,102,166.0,26.53000069,68.60644531,1014.903198,0.0,64.0,197.0,Four,29,11,Twenty-Nine,Eleven,2023,23,Night,11-29,2,Bad
9957,103,157.0,26.54000092,68.60839844,1014.564514,0.0,63.0,200.0,Five,30,11,Thirty,Eleven,2023,0,Night,11-30,1,Very Bad
9958,104,122.0,26.44000053,67.47753906,1013.898438,0.0,64.0,198.0,Five,30,11,Thirty,Eleven,2023,1,Night,11-30,2,Bad
9959,105,116.0,26.26000023,67.3828125,1013.172424,0.0,63.0,199.0,Five,30,11,Thirty,Eleven,2023,2,Night,11-30,2,Bad
9960,106,109.0,26.22999954,67.37890625,1012.5672,0.0,63.0,200.0,Five,30,11,Thirty,Eleven,2023,3,Night,11-30,1,Very Bad
9961,107,87.0,26.04000092,67.45117188,1012.550171,0.0,63.0,200.0,Five,30,11,Thirty,Eleven,2023,4,Night,11-30,1,Very Bad
9962,108,79.0,25.70000076,68.26757813,1012.761719,0.0,64.0,200.0,Five,30,11,Thirty,Eleven,2023,5,Night,11-30,1,Very Bad
9963,109,88.0,25.68000031,69.09667969,1013.391541,0.0,65.0,201.0,Five,30,11,Thirty,Eleven,2023,6,Day,11-30,1,Very Bad
9964,110,89.0,25.77000046,68.43652344,1013.758179,0.0,64.0,201.0,Five,30,11,Thirty,Eleven,2023,7,Day,11-30,1,Very Bad
9965,111,75.0,26.80999947,63.79785156,1014.428894,0.0,63.0,202.0,Five,30,11,Thirty,Eleven,2023,8,Day,11-30,1,Very Bad
9966,112,72.0,28.59000015,58.35449219,1015.171082,0.0,65.0,203.0,Five,30,11,Thirty,Eleven,2023,9,Day,11-30,1,Very Bad
9967,113,66.0,30.62000084,51.1484375,1015.193909,0.0,63.0,204.0,Five,30,11,Thirty,Eleven,2023,10,Day,11-30,1,Very Bad
9968,114,62.0,32.18999863,46.87109375,1014.439697,0.0,63.0,204.0,Five,30,11,Thirty,Eleven,2023,11,Day,11-30,1,Very Bad
9969,115,52.0,34.11999893,41.24121094,1013.645142,0.0,64.0,205.0,Five,30,11,Thirty,Eleven,2023,12,Day,11-30,1,Very Bad
9971,116,33.0,36.97000122,32.10546875,1012.577942,0.0,64.0,204.0,Five,30,11,Thirty,Eleven,2023,13,Day,11-30,1,Very Bad
9972,117,10.0,38.18999863,31.59375,1011.342651,0.0,0.0,203.0,Five,30,11,Thirty,Eleven,2023,14,Day,11-30,1,Very Bad
9973,118,13.0,35.86999893,36.55957031,1010.92749,0.0,0.0,201.0,Five,30,11,Thirty,Eleven,2023,15,Day,11-30,1,Very Bad
9974,119,18.0,34.31999969,39.44433594,1010.877197,0.0,63.0,200.0,Five,30,11,Thirty,Eleven,2023,16,Day,11-30,2,Bad
9975,120,17.0,33.0,44.58398438,1011.333252,0.0,54.0,197.0,Five,30,11,Thirty,Eleven,2023,17,Day,11-30,2,Bad
9976,121,19.0,31.62000084,48.32714844,1011.714111,0.0,63.0,193.0,Five,30,11,Thirty,Eleven,2023,18,Night,11-30,2,Bad
9977,122,36.0,30.86000061,51.34667969,1012.215454,0.0,64.0,188.0,Five,30,11,Thirty,Eleven,2023,19,Night,11-30,2,Bad
9978,123,38.0,30.06999969,54.71484375,1013.053284,0.0,62.0,186.0,Five,30,11,Thirty,Eleven,2023,20,Night,11-30,2,Bad
9979,124,50.0,30.55999947,51.15332031,1013.592163,0.0,63.0,184.0,Five,30,11,Thirty,Eleven,2023,21,Night,11-30,2,Bad
9980,125,42.0,29.85000038,54.09472656,1013.869385,0.0,63.0,180.0,Five,30,11,Thirty,Eleven,2023,22,Night,11-30,2,Bad
9981,126,37.0,29.73999977,54.02539063,1013.750793,0.0,64.0,165.0,Five,30,11,Thirty,Eleven,2023,23,Night,11-30,2,Bad
9982,127,35.0,29.28000069,55.78125,1013.502808,0.0,64.0,152.0,Six,1,12,One,Twelve,2023,0,Night,12-01,2,Bad
9983,128,39.0,28.79999924,58.01855469,1013.128723,0.0,64.0,143.0,Six,1,12,One,Twelve,2023,1,Night,12-01,2,Bad
9984,129,45.0,27.89999962,63.30566406,1012.662659,0.0,63.0,135.0,Six,1,12,One,Twelve,2023,2,Night,12-01,2,Bad
9985,130,49.0,27.28000069,66.82421875,1012.21814,0.0,63.0,128.0,Six,1,12,One,Twelve,2023,3,Night,12-01,2,Bad
9986,131,47.0,26.85000038,69.38867188,1012.320923,0.0,63.0,124.0,Six,1,12,One,Twelve,2023,4,Night,12-01,2,Bad
9987,132,46.0,26.79999924,69.81933594,1012.634521,0.0,64.0,120.0,Six,1,12,One,Twelve,2023,5,Night,12-01,2,Bad
9988,133,52.0,26.70999908,70.48339844,1013.209717,0.0,63.0,116.0,Six,1,12,One,Twelve,2023,6,Day,12-01,2,Bad
9989,134,55.0,26.71999931,70.32617188,1013.8125,0.0,63.0,113.0,Six,1,12,One,Twelve,2023,7,Day,12-01,2,Bad
9990,135,49.0,27.88999939,66.75585938,1014.552673,0.0,63.0,110.0,Six,1,12,One,Twelve,2023,8,Day,12-01,2,Bad
9991,136,24.0,29.76000023,58.23144531,1015.19458,0.0,65.0,104.0,Six,1,12,One,Twelve,2023,9,Day,12-01,2,Bad
9992,137,13.0,31.18000031,53.97949219,1014.593445,0.0,64.0,97.0,Six,1,12,One,Twelve,2023,10,Day,12-01,3,Moderate
9993,138,8.0,33.16999817,46.81054688,1013.683777,0.0,64.0,88.0,Six,1,12,One,Twelve,2023,11,Day,12-01,3,Moderate
9994,139,15.0,33.68000031,46.42480469,1012.912659,0.0,0.0,82.0,Six,1,12,One,Twelve,2023,12,Day,12-01,3,Moderate
9995,140,22.0,33.33000183,46.86132813,1011.584595,0.0,216.0,80.0,Six,1,12,One,Twelve,2023,13,Day,12-01,3,Moderate
9996,141,14.0,34.54000092,45.36914063,1010.428284,0.0,217.0,81.0,Six,1,12,One,Twelve,2023,14,Day,12-01,3,Moderate
9997,142,12.0,33.54000092,48.56445313,1009.741394,0.0,140.0,81.0,Six,1,12,One,Twelve,2023,15,Day,12-01,3,Moderate
9998,143,20.0,33.00999832,51.98925781,1009.717957,0.0,216.0,81.0,Six,1,12,One,Twelve,2023,16,Day,12-01,3,Moderate
9999,144,14.0,32.45999908,49.18554688,1010.070007,0.0,216.0,80.0,Six,1,12,One,Twelve,2023,17,Day,12-01,3,Moderate
10000,145,12.0,30.95999908,54.90234375,1010.385498,0.0,217.0,79.0,Six,1,12,One,Twelve,2023,18,Night,12-01,3,Moderate
10001,146,27.0,30.06999969,58.02148438,1011.187439,0.0,217.0,78.0,Six,1,12,One,Twelve,2023,19,Night,12-01,3,Moderate
10002,147,31.0,29.52000046,61.33984375,1012.218567,0.0,217.0,77.0,Six,1,12,One,Twelve,2023,20,Night,12-01,3,Moderate
10003,148,33.0,29.14999962,64.52441406,1012.933777,0.0,215.0,74.0,Six,1,12,One,Twelve,2023,21,Night,12-01,3,Moderate
10004,149,30.0,28.56999969,68.11328125,1013.336243,0.0,219.0,72.0,Six,1,12,One,Twelve,2023,22,Night,12-01,3,Moderate
10005,150,33.0,28.38999939,69.08105469,1013.228699,0.0,216.0,71.0,Six,1,12,One,Twelve,2023,23,Night,12-01,3,Moderate
10006,151,55.0,28.37000084,69.62109375,1012.993347,0.0,218.0,74.0,Seven,2,12,Two,Twelve,2023,0,Night,12-02,3,Moderate
10007,152,29.0,28.86000061,68.51855469,1013.425598,0.0,309.0,73.0,Seven,2,12,Two,Twelve,2023,1,Night,12-02,3,Moderate
10008,153,6.0,27.56999969,76.83886719,1012.841431,0.0,309.0,66.0,Seven,2,12,Two,Twelve,2023,2,Night,12-02,3,Moderate
10009,154,4.0,27.11000061,78.5859375,1012.646667,0.0,307.0,59.0,Seven,2,12,Two,Twelve,2023,3,Night,12-02,3,Moderate
10010,155,3.0,26.67000008,79.6328125,1012.573425,0.0,309.0,52.0,Seven,2,12,Two,Twelve,2023,4,Night,12-02,3,Moderate
10011,156,6.0,26.45999908,80.01269531,1012.509705,0.0,307.0,47.0,Seven,2,12,Two,Twelve,2023,5,Night,12-02,4,Good
10012,157,8.0,26.28000069,81.25878906,1012.933777,0.0,306.0,42.0,Seven,2,12,Two,Twelve,2023,6,Day,12-02,4,Good
10013,158,15.0,26.5,80.703125,1013.79718,0.0,308.0,38.0,Seven,2,12,Two,Twelve,2023,7,Day,12-02,4,Good
10014,159,9.0,27.98999977,77.44140625,1014.986572,0.0,309.0,34.0,Seven,2,12,Two,Twelve,2023,8,Day,12-02,4,Good
10015,160,5.0,29.87999916,70.89550781,1015.600952,0.0,303.0,32.0,Seven,2,12,Two,Twelve,2023,9,Day,12-02,4,Good
10016,161,7.0,31.65999985,64.23046875,1015.518311,0.0,307.0,32.0,Seven,2,12,Two,Twelve,2023,10,Day,12-02,4,Good
10017,162,5.0,33.18999863,57.32714844,1014.790955,0.0,309.0,31.0,Seven,2,12,Two,Twelve,2023,11,Day,12-02,4,Good
10018,163,10.0,32.04999924,54.22949219,1013.736389,1.0,360.0,31.0,Seven,2,12,Two,Twelve,2023,12,Day,12-02,4,Good
10019,164,17.0,34.34999847,47.21875,1012.384827,2.0,360.0,30.0,Seven,2,12,Two,Twelve,2023,13,Day,12-02,4,Good
10020,165,8.0,35.20000076,45.08789063,1011.220093,1.0,360.0,30.0,Seven,2,12,Two,Twelve,2023,14,Day,12-02,4,Good
10022,166,7.0,35.84999847,43.89941406,1010.758667,1.0,360.0,29.0,Seven,2,12,Two,Twelve,2023,15,Day,12-02,4,Good
10023,167,14.0,33.65999985,48.69238281,1010.654236,1.0,360.0,29.0,Seven,2,12,Two,Twelve,2023,16,Day,12-02,4,Good
10024,168,7.0,32.29999924,51.43945313,1010.696411,1.0,360.0,28.0,Seven,2,12,Two,Twelve,2023,17,Day,12-02,4,Good
10025,169,13.0,31.22999954,54.87695313,1011.646179,1.0,360.0,28.0,Seven,2,12,Two,Twelve,2023,18,Night,12-02,4,Good
10026,170,17.0,30.60000038,58.05371094,1012.462036,1.0,360.0,27.0,Seven,2,12,Two,Twelve,2023,19,Night,12-02,4,Good
10027,171,18.0,29.65999985,63.04101563,1013.1521,1.0,360.0,25.0,Seven,2,12,Two,Twelve,2023,20,Night,12-02,5,Very Good
10028,172,17.0,29.25,65.23242188,1013.605774,1.0,360.0,24.0,Seven,2,12,Two,Twelve,2023,21,Night,12-02,5,Very Good
10034,173,23.0,28.80999947,70.19726563,1013.522095,1.0,360.0,23.0,Seven,2,12,Two,Twelve,2023,23,Night,12-02,5,Very Good
10036,174,36.0,28.60000038,71.22851563,1013.582947,1.0,360.0,24.0,One,3,12,Three,Twelve,2023,0,Night,12-03,5,Very Good
10037,175,45.0,28.73999977,71.47753906,1013.2771,1.0,360.0,23.0,One,3,12,Three,Twelve,2023,1,Night,12-03,5,Very Good
10038,176,74.0,28.30999947,71.65820313,1012.609131,1.0,360.0,27.0,One,3,12,Three,Twelve,2023,2,Night,12-03,4,Good
10039,177,57.0,28.17000008,67.95117188,1012.522522,1.0,360.0,32.0,One,3,12,Three,Twelve,2023,3,Night,12-03,4,Good
10040,178,17.0,28.04000092,66.29003906,1012.382629,0.0,360.0,34.0,One,3,12,Three,Twelve,2023,4,Night,12-03,4,Good
10041,179,13.0,27.5,68.6640625,1012.436279,1.0,360.0,35.0,One,3,12,Three,Twelve,2023,5,Night,12-03,4,Good
10042,180,14.0,27.29999924,67.49316406,1013.157043,1.0,360.0,35.0,One,3,12,Three,Twelve,2023,6,Day,12-03,4,Good
10043,181,17.0,27.51000023,67.15234375,1013.762878,0.0,360.0,36.0,One,3,12,Three,Twelve,2023,7,Day,12-03,4,Good
10044,182,25.0,28.23999977,66.796875,1014.477661,1.0,360.0,37.0,One,3,12,Three,Twelve,2023,8,Day,12-03,4,Good
