No,PM,Temperature,Humidity,Air_Pressure,Wind_Speed,Wind_Direction,AQI,Day,Month,Year,Time,Status
23,26.0,29.04000092,51.79101563,1015.113892,1.0,360.0,46.0,25,11,2023,22,4
24,37.0,28.62999916,54.66601563,1014.985229,1.0,360.0,48.0,25,11,2023,23,4
25,47.0,28.31999969,54.32324219,1014.564697,1.0,360.0,52.0,26,11,2023,0,3
26,48.0,27.98999977,56.58789063,1014.233582,1.0,360.0,57.0,26,11,2023,1,3
27,38.0,30.03000069,60.79199219,1014.380127,0.0,0.0,61.0,26,11,2023,21,3
28,48.0,28.75,67.79980469,1014.273926,0.0,141.0,67.0,26,11,2023,22,3
29,49.0,29.14999962,64.58105469,1014.026428,0.0,140.0,71.0,26,11,2023,23,3
30,128.0,29.17000008,64.57324219,1013.722412,0.0,139.0,88.0,26,11,2023,23,3
31,78.0,29.14999962,63.77539063,1013.775757,0.0,144.0,95.0,27,11,2023,0,3
32,61.0,28.98999977,63.45898438,1013.522644,0.0,142.0,99.0,27,11,2023,1,3
33,15.0,28.43000031,64.95605469,1013.082336,0.0,140.0,97.0,27,11,2023,2,3
34,21.0,25.29999924,89.19042969,1012.646729,0.0,140.0,96.0,27,11,2023,3,3
35,18.0,26.0,83.46289063,1012.617493,0.0,141.0,96.0,27,11,2023,4,3
36,13.0,25.95000076,82.17578125,1012.819275,0.0,140.0,95.0,27,11,2023,5,3
37,18.0,26.42000008,76.56738281,1013.224365,0.0,142.0,94.0,27,11,2023,6,3
38,13.0,26.70000076,74.17285156,1013.803589,0.0,141.0,93.0,27,11,2023,7,3
39,10.0,27.68000031,67.97949219,1014.565186,0.0,140.0,91.0,27,11,2023,8,3
40,8.0,28.76000023,63.89160156,1015.772827,0.0,140.0,88.0,27,11,2023,9,3
41,15.0,30.62000084,56.57226563,1015.598877,0.0,142.0,87.0,27,11,2023,10,3
42,6.0,31.87000084,49.45410156,1014.917725,0.0,142.0,85.0,27,11,2023,11,3
43,4.0,33.34999847,45.06738281,1014.031067,0.0,140.0,80.0,27,11,2023,12,3
44,3.0,34.43999863,41.43066406,1012.793579,0.0,140.0,76.0,27,11,2023,13,3
45,6.0,33.81999969,43.82324219,1011.84314,0.0,140.0,72.0,27,11,2023,14,3
46,14.0,32.95999908,47.69824219,1011.251892,0.0,140.0,71.0,27,11,2023,15,3
47,13.0,32.47999954,46.88964844,1010.913208,0.0,139.0,69.0,27,11,2023,16,3
48,12.0,31.79999924,48.02441406,1011.097656,0.0,141.0,65.0,27,11,2023,17,3
49,19.0,30.72999954,51.10253906,1011.873291,0.0,140.0,60.0,27,11,2023,18,3
50,15.0,29.92000008,52.98632813,1012.903259,0.0,142.0,55.0,27,11,2023,19,3
51,17.0,29.19000053,52.96972656,1013.899536,0.0,142.0,51.0,27,11,2023,20,3
52,30.0,28.53000069,54.09765625,1014.279907,0.0,140.0,49.0,27,11,2023,21,4
53,28.0,27.86000061,56.59277344,1014.296265,0.0,141.0,46.0,27,11,2023,22,4
54,24.0,27.36000061,58.05957031,1013.86908,0.0,140.0,36.0,27,11,2023,23,4
55,37.0,27.01000023,58.09472656,1013.567627,0.0,142.0,32.0,28,11,2023,0,4
56,28.0,26.55999947,59.6875,1013.47467,0.0,139.0,28.0,28,11,2023,1,4
57,37.0,26.68000031,59.95214844,1012.963135,0.0,141.0,31.0,28,11,2023,2,4
58,32.0,27.06999969,58.27148438,1012.434204,0.0,140.0,32.0,28,11,2023,3,4
59,44.0,26.27000046,63.54101563,1012.192505,0.0,140.0,34.0,28,11,2023,4,4
60,44.0,26.38999939,59.41503906,1012.357117,0.0,64.0,38.0,28,11,2023,5,4
61,43.0,25.84000015,60.52734375,1012.847839,0.0,63.0,40.0,28,11,2023,6,4
62,38.0,25.93000031,55.95800781,1013.384827,0.0,63.0,43.0,28,11,2023,7,4
63,43.0,26.45000076,52.40136719,1014.059143,0.0,141.0,46.0,28,11,2023,8,4
64,44.0,27.47999954,48.62695313,1014.904846,0.0,140.0,50.0,28,11,2023,9,4
65,34.0,28.35000038,45.83984375,1014.901001,0.0,64.0,53.0,28,11,2023,10,3
66,33.0,31.12000084,39.36328125,1014.563599,0.0,141.0,58.0,28,11,2023,11,3
67,36.0,31.38999939,38.38769531,1013.829712,0.0,63.0,63.0,28,11,2023,12,3
68,38.0,31.19000053,39.140625,1012.865723,0.0,64.0,69.0,28,11,2023,13,3
69,47.0,30.97999954,40.52246094,1011.877319,0.0,64.0,75.0,28,11,2023,14,3
70,54.0,30.29999924,43.61230469,1011.36908,0.0,64.0,82.0,28,11,2023,15,3
71,51.0,30.55999947,41.26464844,1011.17749,0.0,63.0,88.0,28,11,2023,16,3
72,58.0,29.53000069,44.05175781,1011.325378,0.0,63.0,96.0,28,11,2023,17,3
73,53.0,28.54000092,45.86035156,1011.812195,0.0,64.0,102.0,28,11,2023,18,2
74,71.0,27.62999916,47.74609375,1012.419373,0.0,63.0,108.0,28,11,2023,19,2
75,72.0,26.87000084,51.859375,1012.95343,0.0,63.0,114.0,28,11,2023,20,2
76,90.0,26.11000061,55.90039063,1013.304688,0.0,63.0,120.0,28,11,2023,21,2
77,107.0,25.53000069,59.85546875,1013.464355,0.0,63.0,129.0,28,11,2023,22,2
78,94.0,24.96999931,64.29296875,1013.360168,0.0,62.0,137.0,28,11,2023,23,2
79,121.0,25.52000046,64.15722656,1012.999512,0.0,66.0,146.0,29,11,2023,0,2
80,146.0,25.04999924,68.23632813,1012.691345,0.0,65.0,159.0,29,11,2023,1,2
81,104.0,25.04000092,65.10058594,1012.247498,0.0,65.0,167.0,29,11,2023,2,2
82,95.0,24.54000092,66.99414063,1011.726379,0.0,63.0,174.0,29,11,2023,3,2
83,85.0,24.12000084,69.02636719,1011.783936,0.0,64.0,178.0,29,11,2023,4,2
84,81.0,24.07999992,69.02050781,1012.22406,0.0,61.0,182.0,29,11,2023,5,2
85,79.0,23.79999924,69.55859375,1012.726074,0.0,64.0,186.0,29,11,2023,6,2
86,74.0,23.71999931,68.39550781,1013.502136,0.0,62.0,190.0,29,11,2023,7,2
87,57.0,25.27000046,62.21777344,1014.368042,1.0,64.0,192.0,29,11,2023,8,2
88,52.0,27.48999977,53.49804688,1014.989075,0.0,63.0,192.0,29,11,2023,9,2
89,49.0,28.40999985,51.78808594,1014.942993,0.0,63.0,194.0,29,11,2023,10,2
90,49.0,29.47999954,47.9296875,1014.584229,0.0,63.0,196.0,29,11,2023,11,2
91,41.0,30.82999992,45.27734375,1013.780334,0.0,63.0,196.0,29,11,2023,12,2
92,49.0,33.20999908,38.42675781,1012.787964,0.0,63.0,198.0,29,11,2023,13,2
93,42.0,35.86000061,33.23632813,1011.788574,0.0,64.0,197.0,29,11,2023,14,2
94,49.0,32.25,40.58984375,1011.370483,0.0,64.0,197.0,29,11,2023,15,2
95,49.0,30.44000053,46.69140625,1011.425842,1.0,64.0,196.0,29,11,2023,16,2
96,43.0,29.37000084,48.31738281,1011.804382,1.0,64.0,195.0,29,11,2023,17,2
97,52.0,28.90999985,50.78515625,1012.477051,0.0,64.0,195.0,29,11,2023,18,2
98,80.0,28.42000008,54.58496094,1013.1521,0.0,64.0,196.0,29,11,2023,19,2
99,60.0,28.17000008,55.36132813,1013.864929,0.0,63.0,194.0,29,11,2023,20,2
100,71.0,27.84000015,56.30859375,1014.470642,0.0,64.0,192.0,29,11,2023,21,2
101,77.0,27.20999908,59.99804688,1015.000793,0.0,65.0,189.0,29,11,2023,22,2
102,166.0,26.53000069,68.60644531,1014.903198,0.0,64.0,197.0,29,11,2023,23,2
103,157.0,26.54000092,68.60839844,1014.564514,0.0,63.0,200.0,30,11,2023,0,1
104,122.0,26.44000053,67.47753906,1013.898438,0.0,64.0,198.0,30,11,2023,1,2
105,116.0,26.26000023,67.3828125,1013.172424,0.0,63.0,199.0,30,11,2023,2,2
106,109.0,26.22999954,67.37890625,1012.5672,0.0,63.0,200.0,30,11,2023,3,1
107,87.0,26.04000092,67.45117188,1012.550171,0.0,63.0,200.0,30,11,2023,4,1
108,79.0,25.70000076,68.26757813,1012.761719,0.0,64.0,200.0,30,11,2023,5,1
109,88.0,25.68000031,69.09667969,1013.391541,0.0,65.0,201.0,30,11,2023,6,1
110,89.0,25.77000046,68.43652344,1013.758179,0.0,64.0,201.0,30,11,2023,7,1
111,75.0,26.80999947,63.79785156,1014.428894,0.0,63.0,202.0,30,11,2023,8,1
112,72.0,28.59000015,58.35449219,1015.171082,0.0,65.0,203.0,30,11,2023,9,1
113,66.0,30.62000084,51.1484375,1015.193909,0.0,63.0,204.0,30,11,2023,10,1
114,62.0,32.18999863,46.87109375,1014.439697,0.0,63.0,204.0,30,11,2023,11,1
115,52.0,34.11999893,41.24121094,1013.645142,0.0,64.0,205.0,30,11,2023,12,1
116,33.0,36.97000122,32.10546875,1012.577942,0.0,64.0,204.0,30,11,2023,13,1
117,10.0,38.18999863,31.59375,1011.342651,0.0,0.0,203.0,30,11,2023,14,1
118,13.0,35.86999893,36.55957031,1010.92749,0.0,0.0,201.0,30,11,2023,15,1
119,18.0,34.31999969,39.44433594,1010.877197,0.0,63.0,200.0,30,11,2023,16,2
120,17.0,33.0,44.58398438,1011.333252,0.0,54.0,197.0,30,11,2023,17,2
121,19.0,31.62000084,48.32714844,1011.714111,0.0,63.0,193.0,30,11,2023,18,2
122,36.0,30.86000061,51.34667969,1012.215454,0.0,64.0,188.0,30,11,2023,19,2
123,38.0,30.06999969,54.71484375,1013.053284,0.0,62.0,186.0,30,11,2023,20,2
124,50.0,30.55999947,51.15332031,1013.592163,0.0,63.0,184.0,30,11,2023,21,2
125,42.0,29.85000038,54.09472656,1013.869385,0.0,63.0,180.0,30,11,2023,22,2
126,37.0,29.73999977,54.02539063,1013.750793,0.0,64.0,165.0,30,11,2023,23,2
127,35.0,29.28000069,55.78125,1013.502808,0.0,64.0,152.0,1,12,2023,0,2
128,39.0,28.79999924,58.01855469,1013.128723,0.0,64.0,143.0,1,12,2023,1,2
129,45.0,27.89999962,63.30566406,1012.662659,0.0,63.0,135.0,1,12,2023,2,2
130,49.0,27.28000069,66.82421875,1012.21814,0.0,63.0,128.0,1,12,2023,3,2
131,47.0,26.85000038,69.38867188,1012.320923,0.0,63.0,124.0,1,12,2023,4,2
132,46.0,26.79999924,69.81933594,1012.634521,0.0,64.0,120.0,1,12,2023,5,2
133,52.0,26.70999908,70.48339844,1013.209717,0.0,63.0,116.0,1,12,2023,6,2
134,55.0,26.71999931,70.32617188,1013.8125,0.0,63.0,113.0,1,12,2023,7,2
135,49.0,27.88999939,66.75585938,1014.552673,0.0,63.0,110.0,1,12,2023,8,2
136,24.0,29.76000023,58.23144531,1015.19458,0.0,65.0,104.0,1,12,2023,9,2
137,13.0,31.18000031,53.97949219,1014.593445,0.0,64.0,97.0,1,12,2023,10,3
138,8.0,33.16999817,46.81054688,1013.683777,0.0,64.0,88.0,1,12,2023,11,3
139,15.0,33.68000031,46.42480469,1012.912659,0.0,0.0,82.0,1,12,2023,12,3
140,22.0,33.33000183,46.86132813,1011.584595,0.0,216.0,80.0,1,12,2023,13,3
141,14.0,34.54000092,45.36914063,1010.428284,0.0,217.0,81.0,1,12,2023,14,3
142,12.0,33.54000092,48.56445313,1009.741394,0.0,140.0,81.0,1,12,2023,15,3
143,20.0,33.00999832,51.98925781,1009.717957,0.0,216.0,81.0,1,12,2023,16,3
144,14.0,32.45999908,49.18554688,1010.070007,0.0,216.0,80.0,1,12,2023,17,3
145,12.0,30.95999908,54.90234375,1010.385498,0.0,217.0,79.0,1,12,2023,18,3
146,27.0,30.06999969,58.02148438,1011.187439,0.0,217.0,78.0,1,12,2023,19,3
147,31.0,29.52000046,61.33984375,1012.218567,0.0,217.0,77.0,1,12,2023,20,3
148,33.0,29.14999962,64.52441406,1012.933777,0.0,215.0,74.0,1,12,2023,21,3
149,30.0,28.56999969,68.11328125,1013.336243,0.0,219.0,72.0,1,12,2023,22,3
150,33.0,28.38999939,69.08105469,1013.228699,0.0,216.0,71.0,1,12,2023,23,3
151,55.0,28.37000084,69.62109375,1012.993347,0.0,218.0,74.0,2,12,2023,0,3
152,29.0,28.86000061,68.51855469,1013.425598,0.0,309.0,73.0,2,12,2023,1,3
153,6.0,27.56999969,76.83886719,1012.841431,0.0,309.0,66.0,2,12,2023,2,3
154,4.0,27.11000061,78.5859375,1012.646667,0.0,307.0,59.0,2,12,2023,3,3
155,3.0,26.67000008,79.6328125,1012.573425,0.0,309.0,52.0,2,12,2023,4,3
156,6.0,26.45999908,80.01269531,1012.509705,0.0,307.0,47.0,2,12,2023,5,4
157,8.0,26.28000069,81.25878906,1012.933777,0.0,306.0,42.0,2,12,2023,6,4
158,15.0,26.5,80.703125,1013.79718,0.0,308.0,38.0,2,12,2023,7,4
159,9.0,27.98999977,77.44140625,1014.986572,0.0,309.0,34.0,2,12,2023,8,4
160,5.0,29.87999916,70.89550781,1015.600952,0.0,303.0,32.0,2,12,2023,9,4
161,7.0,31.65999985,64.23046875,1015.518311,0.0,307.0,32.0,2,12,2023,10,4
162,5.0,33.18999863,57.32714844,1014.790955,0.0,309.0,31.0,2,12,2023,11,4
163,10.0,32.04999924,54.22949219,1013.736389,1.0,360.0,31.0,2,12,2023,12,4
164,17.0,34.34999847,47.21875,1012.384827,2.0,360.0,30.0,2,12,2023,13,4
165,8.0,35.20000076,45.08789063,1011.220093,1.0,360.0,30.0,2,12,2023,14,4
166,7.0,35.84999847,43.89941406,1010.758667,1.0,360.0,29.0,2,12,2023,15,4
167,14.0,33.65999985,48.69238281,1010.654236,1.0,360.0,29.0,2,12,2023,16,4
168,7.0,32.29999924,51.43945313,1010.696411,1.0,360.0,28.0,2,12,2023,17,4
169,13.0,31.22999954,54.87695313,1011.646179,1.0,360.0,28.0,2,12,2023,18,4
170,17.0,30.60000038,58.05371094,1012.462036,1.0,360.0,27.0,2,12,2023,19,4
171,18.0,29.65999985,63.04101563,1013.1521,1.0,360.0,25.0,2,12,2023,20,5
172,17.0,29.25,65.23242188,1013.605774,1.0,360.0,24.0,2,12,2023,21,5
173,23.0,28.80999947,70.19726563,1013.522095,1.0,360.0,23.0,2,12,2023,23,5
174,36.0,28.60000038,71.22851563,1013.582947,1.0,360.0,24.0,3,12,2023,0,5
175,45.0,28.73999977,71.47753906,1013.2771,1.0,360.0,23.0,3,12,2023,1,5
176,74.0,28.30999947,71.65820313,1012.609131,1.0,360.0,27.0,3,12,2023,2,4
177,57.0,28.17000008,67.95117188,1012.522522,1.0,360.0,32.0,3,12,2023,3,4
178,17.0,28.04000092,66.29003906,1012.382629,0.0,360.0,34.0,3,12,2023,4,4
179,13.0,27.5,68.6640625,1012.436279,1.0,360.0,35.0,3,12,2023,5,4
180,14.0,27.29999924,67.49316406,1013.157043,1.0,360.0,35.0,3,12,2023,6,4
181,17.0,27.51000023,67.15234375,1013.762878,0.0,360.0,36.0,3,12,2023,7,4
182,25.0,28.23999977,66.796875,1014.477661,1.0,360.0,37.0,3,12,2023,8,4
183,13.0,29.46999931,63.58203125,1014.889404,1.0,360.0,38.0,3,12,2023,9,4
184,17.0,31.05999947,57.84960938,1014.871277,1.0,360.0,39.0,3,12,2023,10,4
185,10.0,32.34999847,53.36132813,1014.132996,0.0,308.0,39.0,3,12,2023,11,4
186,8.0,34.70999908,45.24707031,1012.954529,4.0,360.0,40.0,3,12,2023,12,4
187,10.0,38.75999832,36.84863281,1011.51593,1.0,360.0,40.0,3,12,2023,13,4
188,13.0,36.93999863,40.70507813,1010.599976,1.0,360.0,39.0,3,12,2023,14,4
189,9.0,35.04000092,44.875,1010.31073,1.0,360.0,39.0,3,12,2023,15,4
190,8.0,34.61999893,45.70117188,1010.503723,1.0,360.0,39.0,3,12,2023,16,4
191,7.0,33.18999863,50.90722656,1011.116882,1.0,360.0,39.0,3,12,2023,17,4
192,10.0,32.33000183,53.85253906,1011.697632,1.0,360.0,39.0,3,12,2023,18,4
193,10.0,31.72999954,58.23046875,1012.23877,0.0,360.0,39.0,3,12,2023,19,4
194,10.0,31.62999916,57.09765625,1013.03717,2.0,360.0,38.0,3,12,2023,20,4
195,3.0,27.29999924,76.69335938,1013.941345,3.0,360.0,36.0,3,12,2023,22,4
196,3.0,27.04999924,78.87890625,1014.072205,3.0,360.0,35.0,3,12,2023,23,4
197,9.0,26.84000015,80.6640625,1013.504944,4.0,360.0,34.0,4,12,2023,0,4
198,31.0,27.03000069,81.46289063,1013.8703,4.0,360.0,33.0,4,12,2023,1,4
199,26.0,26.79999924,83.12597656,1012.756897,4.0,360.0,31.0,4,12,2023,2,4
200,29.0,26.65999985,84.42578125,1012.619934,4.0,360.0,27.0,4,12,2023,3,4
201,15.0,26.32999992,83.859375,1012.779663,3.0,360.0,23.0,4,12,2023,4,5
202,18.0,26.09000015,84.04785156,1012.576904,3.0,360.0,23.0,4,12,2023,5,5
203,14.0,25.67000008,84.81347656,1013.035095,4.0,360.0,23.0,4,12,2023,6,5
204,18.0,25.90999985,85.52734375,1013.563721,4.0,360.0,23.0,4,12,2023,7,5
205,29.0,26.64999962,84.40039063,1014.461426,3.0,360.0,24.0,4,12,2023,8,5
206,15.0,28.30999947,79.2109375,1015.127747,3.0,360.0,23.0,4,12,2023,9,5
207,11.0,30.69000053,63.43261719,1015.266846,1.0,360.0,23.0,4,12,2023,10,5
208,14.0,32.15000153,59.42871094,1014.650146,1.0,360.0,23.0,4,12,2023,11,5
209,18.0,32.36999893,54.55664063,1013.579346,1.0,360.0,23.0,4,12,2023,12,5
210,12.0,33.25,55.65917969,1012.127319,0.0,360.0,24.0,4,12,2023,13,5
211,21.0,32.68999863,55.52246094,1011.156067,0.0,360.0,25.0,4,12,2023,14,5
212,12.0,32.59999847,54.984375,1010.688416,0.0,360.0,24.0,4,12,2023,15,5
213,10.0,33.56999969,52.35253906,1010.477478,1.0,360.0,25.0,4,12,2023,16,5
214,10.0,31.82999992,57.79882813,1010.992493,0.0,360.0,25.0,4,12,2023,17,5
215,10.0,30.34000015,63.0546875,1011.754822,0.0,360.0,25.0,4,12,2023,18,5
216,13.0,29.61000061,66.24902344,1012.49939,0.0,360.0,26.0,4,12,2023,19,4
217,23.0,29.73999977,65.48242188,1013.169189,0.0,360.0,27.0,4,12,2023,20,4
218,26.0,29.21999931,66.74804688,1013.582764,0.0,360.0,29.0,4,12,2023,21,4
219,45.0,28.72999954,70.32128906,1013.696472,0.0,360.0,33.0,4,12,2023,22,4
220,55.0,28.04999924,76.06542969,1013.451172,0.0,360.0,38.0,4,12,2023,23,4
221,65.0,27.54000092,79.12207031,1013.262024,0.0,360.0,44.0,5,12,2023,0,4
222,45.0,27.43000031,77.85351563,1012.439819,0.0,360.0,45.0,5,12,2023,1,4
223,44.0,26.95000076,80.57128906,1011.903137,0.0,360.0,47.0,5,12,2023,2,4
224,38.0,26.55999947,82.80078125,1011.33844,0.0,360.0,48.0,5,12,2023,3,4
225,47.0,26.25,83.12695313,1011.348755,0.0,360.0,53.0,5,12,2023,4,3
226,46.0,26.0,85.53515625,1011.805542,0.0,360.0,57.0,5,12,2023,5,3
227,73.0,25.76000023,86.96679688,1012.213257,0.0,360.0,67.0,5,12,2023,6,3
228,56.0,26.12000084,85.91699219,1012.818909,0.0,360.0,73.0,5,12,2023,7,3
229,56.0,27.56999969,76.78417969,1013.71814,0.0,360.0,78.0,5,12,2023,8,3
230,59.0,29.18000031,69.45019531,1014.07312,0.0,360.0,85.0,5,12,2023,9,3
231,40.0,31.17000008,61.83496094,1014.10968,0.0,304.0,90.0,5,12,2023,10,3
232,33.0,33.36000061,53.8125,1013.479126,0.0,360.0,93.0,5,12,2023,11,3
233,23.0,33.72999954,50.77246094,1012.424988,0.0,360.0,94.0,5,12,2023,12,3
234,56.0,34.16999817,47.88085938,1011.165771,0.0,360.0,101.0,5,12,2023,13,2
235,10.0,36.59000015,41.05664063,1010.187988,0.0,360.0,99.0,5,12,2023,13,3
236,19.0,36.06950378,42.2191391,1010.148438,0.0,216.0,101.0,5,12,2023,14,2
237,15.0,35.02999878,44.14648438,1009.89093,0.0,360.0,102.0,5,12,2023,14,2
238,21.0,35.02740479,46.08489609,1009.803894,0.0,360.0,103.0,5,12,2023,15,2
239,37.0,31.5410614,60.05597305,1009.911255,0.163204744,65.0,106.0,5,12,2023,16,2
240,57.0,29.61196327,70.34249115,1010.354919,0.05029586,360.0,111.0,5,12,2023,17,2
241,40.0,29.02849388,71.06312561,1011.054138,0.234421372,307.0,112.0,5,12,2023,18,2
242,29.0,28.38055801,72.03683472,1011.82251,0.87537092,360.0,113.0,5,12,2023,19,2
243,46.0,27.81208801,76.16265106,1013.516235,1.0,360.0,112.0,5,12,2023,21,2
244,53.0,27.60400772,77.88742065,1013.924255,0.997041404,360.0,110.0,5,12,2023,22,2
245,12.0,27.17000008,81.33999634,1013.97998,1.0,360.0,107.0,5,12,2023,22,2
246,34.0,27.62999916,80.41999817,1013.969971,1.0,360.0,105.0,5,12,2023,22,2
247,32.0,27.68000031,80.15000153,1013.950012,0.920000017,360.0,105.0,5,12,2023,23,2
248,30.0,27.52000046,80.15000153,1013.590027,1.0,360.0,103.0,6,12,2023,0,2
249,30.0,27.09000015,81.87999725,1013.210022,0.980000019,360.0,101.0,6,12,2023,1,2
250,32.0,26.73999977,83.80000305,1013.01001,0.99000001,360.0,94.0,6,12,2023,2,3
251,51.0,26.45000076,86.62000275,1012.679993,0.910000026,360.0,93.0,6,12,2023,3,3
252,75.0,26.28000069,87.58000183,1012.52002,1.0,360.0,96.0,6,12,2023,4,3
253,70.0,26.84000015,85.34999847,1012.830017,0.99000001,360.0,98.0,6,12,2023,5,3
254,85.0,27.01000023,84.95999908,1013.330017,0.920000017,360.0,104.0,6,12,2023,6,2
255,93.0,27.21999931,84.59999847,1013.77002,1.00999999,360.0,111.0,6,12,2023,7,2
256,98.0,27.87000084,81.94000244,1014.400024,0.119999997,360.0,119.0,6,12,2023,8,2
257,62.0,30.55999947,66.63999939,1014.950012,1.100000024,360.0,128.0,6,12,2023,10,2
258,32.0,32.41999817,56.58000183,1014.349976,0.50999999,360.0,130.0,6,12,2023,11,2
259,17.0,34.38000107,47.27999878,1013.309998,0.850000024,360.0,130.0,6,12,2023,12,2
260,18.0,36.5,39.68000031,1012.150024,0.529999971,360.0,130.0,6,12,2023,13,2
261,11.0,36.72000122,38.34999847,1010.840027,0.699999988,360.0,127.0,6,12,2023,14,2
262,19.0,34.52000046,44.77999878,1010.25,1.029999971,360.0,123.0,6,12,2023,15,2
263,24.0,34.50999832,45.88999939,1009.840027,1.190000057,360.0,121.0,6,12,2023,16,2
264,30.0,33.99000168,47.18999863,1010.039978,0.670000017,360.0,121.0,6,12,2023,17,2
265,52.0,31.65999985,60.77000046,1010.599976,0.01,142.0,122.0,6,12,2023,18,2
266,69.0,30.40999985,66.06999969,1011.469971,0.0,142.0,124.0,6,12,2023,19,2
267,45.0,30.12999916,63.97999954,1012.640015,0.660000026,360.0,124.0,6,12,2023,20,2
268,17.0,29.29999924,64.37999725,1013.27002,1.090000033,360.0,124.0,6,12,2023,21,2
269,20.0,29.18000031,64.52999878,1013.76001,0.99000001,360.0,123.0,6,12,2023,22,2
270,21.0,29.06999969,67.16000366,1014.280029,1.039999962,360.0,121.0,6,12,2023,23,2
271,17.0,28.45000076,70.87999725,1014.349976,1.0,360.0,120.0,7,12,2023,0,2
272,10.0,28.04999924,71.41999817,1013.919983,0.540000021,360.0,118.0,7,12,2023,1,2
273,9.0,27.68000031,68.84999847,1012.51001,1.0,360.0,111.0,7,12,2023,3,2
274,9.0,27.30999947,70.88999939,1012.030029,0.980000019,360.0,103.0,7,12,2023,4,2
275,12.0,27.39999962,71.08000183,1012.700012,1.049999952,360.0,94.0,7,12,2023,5,3
276,19.0,26.64999962,77.51999664,1013.72998,1.029999971,360.0,71.0,7,12,2023,7,3
277,18.0,27.21999931,74.94999695,1014.400024,0.829999983,306.0,57.0,7,12,2023,8,3
278,15.0,28.53000069,66.19999695,1015.049988,0.639999986,360.0,47.0,7,12,2023,9,4
279,1.0,29.55999947,56.95000076,1015.309998,1.0,360.0,41.0,7,12,2023,9,4
280,6.0,30.29000092,55.84000015,1015.25,1.0,360.0,38.0,7,12,2023,10,4
281,4.0,31.12999916,52.52000046,1014.859985,1.460000038,360.0,37.0,7,12,2023,11,4
282,4.0,32.54000092,48.24000168,1014.280029,1.710000038,360.0,35.0,7,12,2023,12,4
283,7.0,34.06999969,45.25,1013.179993,1.399999976,360.0,35.0,7,12,2023,13,4
284,6.0,35.63999939,41.77999878,1011.97998,1.429999948,360.0,34.0,7,12,2023,14,4
285,6.0,34.45000076,44.29000092,1011.400024,1.139999986,360.0,32.0,7,12,2023,15,4
286,7.0,33.77000046,46.22999954,1010.969971,1.580000043,360.0,30.0,7,12,2023,16,4
287,8.0,32.02999878,50.90999985,1011.169983,1.059999943,360.0,25.0,7,12,2023,17,5
288,11.0,30.62000084,56.31000137,1011.77002,0.970000029,360.0,21.0,7,12,2023,18,5
289,13.0,29.85000038,60.45000076,1012.619995,0.970000029,360.0,18.0,7,12,2023,19,5
290,17.0,29.34000015,60.99000168,1013.51001,0.980000019,360.0,18.0,7,12,2023,20,5
291,22.0,28.87000084,63.45000076,1014.309998,0.99000001,360.0,18.0,7,12,2023,21,5
292,16.0,28.43000031,63.88000107,1014.47998,1.0,360.0,18.0,7,12,2023,22,5
293,13.0,28.20000076,63.68000031,1014.630005,0.99000001,360.0,18.0,7,12,2023,23,5
294,15.0,27.40999985,66.51000214,1014.52002,1.0,360.0,18.0,8,12,2023,0,5
